time_sec,x,y,yaw
0.000,-0.0000,-0.0000,0.0000
0.900,0.0543,0.0136,0.2639
1.050,0.1047,0.0281,0.2940
1.200,0.1548,0.0440,0.3210
1.350,0.2044,0.0611,0.3448
1.500,0.2536,0.0794,0.3652
1.650,0.3025,0.0986,0.3830
1.800,0.3510,0.1186,0.3991
1.950,0.3992,0.1393,0.4128
2.100,0.4472,0.1607,0.4247
2.250,0.4949,0.1826,0.4355
2.400,0.5424,0.2050,0.4449
2.550,0.5897,0.2278,0.4531
2.700,0.6368,0.2509,0.4602
2.850,0.6838,0.2744,0.4665
3.000,0.7306,0.2981,0.4722
3.150,0.7773,0.3221,0.4771
3.300,0.8239,0.3463,0.4814
3.450,0.8704,0.3707,0.4852
3.600,0.9168,0.3953,0.4886
3.750,0.9631,0.4200,0.4917
3.900,1.0093,0.4449,0.4945
4.050,1.0555,0.4698,0.4969
4.200,1.1016,0.4949,0.4991
4.350,1.1477,0.5201,0.5011
4.500,1.1937,0.5454,0.5028
4.650,1.2397,0.5707,0.5044
4.800,1.2853,0.5959,0.5059
5.000,1.3417,0.6272,0.5076
5.200,1.3942,0.6565,0.5091
5.400,1.4424,0.6834,0.5104
5.600,1.4866,0.7082,0.5116
5.850,1.5369,0.7365,0.5129
6.100,1.5822,0.7620,0.5139
6.400,1.6311,0.7897,0.5150
6.750,1.6806,0.8177,0.5161
7.150,1.7290,0.8452,0.5170
7.600,1.7749,0.8713,0.5178
8.150,1.8206,0.8974,0.5185
10.350,1.8802,0.9084,0.0986
10.500,1.9324,0.9143,0.1250
10.650,1.9844,0.9214,0.1480
10.800,2.0363,0.9297,0.1678
10.950,2.0879,0.9389,0.1849
11.100,2.1395,0.9490,0.1999
11.250,2.1909,0.9597,0.2135
11.400,2.2421,0.9712,0.2251
11.550,2.2932,0.9831,0.2353
11.700,2.3442,0.9956,0.2441
11.850,2.3951,1.0085,0.2518
12.000,2.4459,1.0218,0.2585
12.150,2.4966,1.0353,0.2645
12.300,2.5473,1.0492,0.2698
12.450,2.5978,1.0633,0.2744
12.600,2.6483,1.0776,0.2785
12.750,2.6988,1.0922,0.2821
12.900,2.7492,1.1069,0.2854
13.050,2.7995,1.1217,0.2882
13.200,2.8498,1.1367,0.2908
13.350,2.9001,1.1518,0.2930
13.500,2.9504,1.1670,0.2951
13.650,3.0006,1.1824,0.2969
13.800,3.0508,1.1978,0.2985
13.950,3.1009,1.2132,0.3000
14.100,3.1511,1.2288,0.3013
14.250,3.2012,1.2444,0.3025
14.400,3.2493,1.2594,0.3036
14.600,3.3090,1.2782,0.3049
14.800,3.3640,1.2955,0.3060
15.000,3.4144,1.3115,0.3070
15.250,3.4719,1.3297,0.3081
15.500,3.5238,1.3463,0.3090
15.800,3.5792,1.3640,0.3099
16.100,3.6281,1.3797,0.3107
16.450,3.6784,1.3958,0.3115
16.850,3.7271,1.4115,0.3121
17.350,3.7779,1.4279,0.3127
20.900,3.8364,1.4173,-0.9044
21.050,3.8682,1.3755,-0.9371
21.200,3.8986,1.3328,-0.9653
21.350,3.9280,1.2892,-0.9897
21.500,3.9563,1.2450,-1.0109
21.650,3.9838,1.2003,-1.0298
21.800,4.0104,1.1551,-1.0459
21.950,4.0364,1.1094,-1.0602
22.100,4.0618,1.0635,-1.0725
22.250,4.0866,1.0172,-1.0830
22.400,4.1110,0.9707,-1.0923
22.550,4.1350,0.9240,-1.1004
22.700,4.1586,0.8771,-1.1077
22.850,4.1819,0.8301,-1.1141
23.000,4.2049,0.7829,-1.1195
23.150,4.2277,0.7356,-1.1243
23.300,4.2503,0.6882,-1.1285
23.450,4.2727,0.6407,-1.1321
23.600,4.2949,0.5932,-1.1353
23.750,4.3170,0.5455,-1.1381
23.900,4.3389,0.4978,-1.1406
24.050,4.3608,0.4501,-1.1428
24.200,4.3825,0.4023,-1.1447
24.350,4.4042,0.3545,-1.1464
24.500,4.4257,0.3066,-1.1479
24.650,4.4472,0.2587,-1.1492
24.800,4.4687,0.2108,-1.1504
24.950,4.4901,0.1629,-1.1514
25.100,4.5115,0.1149,-1.1523
25.250,4.5328,0.0669,-1.1532
25.400,4.5540,0.0189,-1.1539
25.550,4.5753,-0.0291,-1.1546
25.700,4.5965,-0.0771,-1.1551
25.850,4.6177,-0.1251,-1.1557
26.000,4.6389,-0.1732,-1.1561
26.150,4.6600,-0.2212,-1.1566
26.300,4.6806,-0.2682,-1.1570
26.500,4.7061,-0.3261,-1.1574
26.700,4.7293,-0.3792,-1.1578
26.900,4.7508,-0.4283,-1.1582
27.150,4.7752,-0.4841,-1.1586
27.400,4.7972,-0.5344,-1.1589
27.700,4.8209,-0.5885,-1.1592
28.000,4.8418,-0.6364,-1.1595
28.350,4.8630,-0.6852,-1.1598
28.750,4.8839,-0.7331,-1.1600
29.250,4.9055,-0.7828,-1.1602
37.650,4.8954,-0.8389,-2.6694
37.800,4.8491,-0.8635,-2.6356
37.950,4.8036,-0.8897,-2.6060
38.100,4.7588,-0.9171,-2.5806
38.250,4.7146,-0.9455,-2.5585
38.400,4.6711,-0.9748,-2.5388
38.550,4.6281,-1.0050,-2.5214
38.700,4.5856,-1.0358,-2.5062
38.850,4.5436,-1.0673,-2.4925
39.000,4.5020,-1.0993,-2.4805
39.150,4.4607,-1.1317,-2.4700
39.300,4.4198,-1.1646,-2.4605
39.450,4.3791,-1.1978,-2.4521
39.600,4.3387,-1.2314,-2.4446
39.750,4.2986,-1.2652,-2.4378
39.900,4.2587,-1.2993,-2.4318
40.050,4.2189,-1.3336,-2.4265
40.200,4.1794,-1.3681,-2.4216
40.350,4.1400,-1.4028,-2.4172
40.500,4.1010,-1.4375,-2.4133
40.700,4.0527,-1.4808,-2.4086
40.900,4.0080,-1.5212,-2.4044
41.100,3.9675,-1.5581,-2.4008
41.300,3.9302,-1.5924,-2.3976
41.550,3.8874,-1.6318,-2.3940
41.800,3.8492,-1.6674,-2.3911
42.100,3.8081,-1.7059,-2.3880
42.450,3.7664,-1.7450,-2.3852
42.850,3.7255,-1.7838,-2.3826
43.300,3.6873,-1.8201,-2.3804
43.850,3.6493,-1.8564,-2.3784
47.000,3.5948,-1.8569,2.9594
47.150,3.5433,-1.8466,2.9279
47.300,3.4922,-1.8347,2.9009
47.450,3.4413,-1.8216,2.8774
47.600,3.3908,-1.8073,2.8570
47.750,3.3406,-1.7922,2.8393
47.900,3.2906,-1.7761,2.8235
48.050,3.2408,-1.7594,2.8099
48.200,3.1913,-1.7420,2.7981
48.350,3.1419,-1.7240,2.7874
48.500,3.0928,-1.7056,2.7783
48.650,3.0438,-1.6867,2.7703
48.800,2.9949,-1.6675,2.7631
48.950,2.9462,-1.6479,2.7568
49.100,2.8976,-1.6281,2.7514
49.250,2.8491,-1.6080,2.7465
49.400,2.8007,-1.5877,2.7423
49.550,2.7524,-1.5672,2.7385
49.700,2.7041,-1.5465,2.7352
49.850,2.6559,-1.5257,2.7322
50.000,2.6078,-1.5047,2.7296
50.150,2.5597,-1.4837,2.7273
50.300,2.5117,-1.4625,2.7252
50.450,2.4637,-1.4412,2.7234
50.600,2.4157,-1.4198,2.7217
50.750,2.3678,-1.3984,2.7202
50.900,2.3199,-1.3769,2.7188
51.050,2.2720,-1.3553,2.7176
51.200,2.2259,-1.3344,2.7165
51.400,2.1685,-1.3084,2.7152
51.600,2.1149,-1.2841,2.7140
