time_sec,x,y,yaw
51.800,2.0659,-1.2617,2.7130
52.050,2.0105,-1.2363,2.7119
52.300,1.9602,-1.2133,2.7110
52.600,1.9066,-1.1886,2.7100
52.900,1.8589,-1.1666,2.7092
53.250,1.8106,-1.1443,2.7085
53.650,1.7634,-1.1225,2.7078
54.150,1.7143,-1.0997,2.7072
61.950,1.6616,-1.0611,2.2044
62.100,1.6312,-1.0183,2.1737
62.250,1.6020,-0.9747,2.1466
62.400,1.5740,-0.9303,2.1230
62.550,1.5469,-0.8853,2.1027
62.700,1.5207,-0.8398,2.0851
62.850,1.4952,-0.7939,2.0695
63.000,1.4704,-0.7476,2.0560
63.150,1.4462,-0.7010,2.0443
63.300,1.4225,-0.6542,2.0343
63.450,1.3993,-0.6071,2.0255
63.600,1.3764,-0.5599,2.0179
63.750,1.3539,-0.5125,2.0112
63.900,1.3316,-0.4649,2.0053
64.050,1.3097,-0.4172,2.0001
64.200,1.2879,-0.3694,1.9957
64.350,1.2664,-0.3216,1.9918
64.500,1.2450,-0.2736,1.9884
64.650,1.2238,-0.2256,1.9854
64.800,1.2027,-0.1775,1.9828
64.950,1.1817,-0.1294,1.9805
65.100,1.1609,-0.0812,1.9785
65.250,1.1401,-0.0330,1.9767
65.400,1.1194,0.0153,1.9751
65.550,1.0988,0.0636,1.9738
65.700,1.0782,0.1119,1.9726
65.850,1.0577,0.1602,1.9715
66.000,1.0373,0.2085,1.9706
66.150,1.0168,0.2569,1.9697
66.300,0.9965,0.3053,1.9690
66.450,0.9761,0.3537,1.9683
66.600,0.9558,0.4021,1.9678
66.750,0.9355,0.4505,1.9672
66.900,0.9153,0.4990,1.9668
67.050,0.8950,0.5474,1.9664
67.200,0.8748,0.5959,1.9660
67.350,0.8546,0.6443,1.9657
67.500,0.8344,0.6928,1.9654
67.650,0.8145,0.7406,1.9651
67.850,0.7896,0.8005,1.9648
68.050,0.7666,0.8558,1.9645
68.250,0.7456,0.9064,1.9642
68.450,0.7261,0.9533,1.9640
68.700,0.7038,1.0071,1.9638
68.950,0.6839,1.0552,1.9636
69.250,0.6625,1.1069,1.9634
69.600,0.6406,1.1598,1.9632
70.000,0.6192,1.2114,1.9630
70.450,0.5990,1.2602,1.9628
71.000,0.5790,1.3087,1.9627
